סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
115 ,חופית ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1051 ,75 ,193 ,314 ,165 ,100 ,204
122 ,רמת ישי ,23 ,עפולה ,23 ,עפולה ,0 , ,8314 ,625 ,1729 ,2814 ,1075 ,754 ,1317
126 ,שריד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1157 ,65 ,263 ,309 ,169 ,90 ,261
127 ,רמת רחל ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,571 ,59 ,129 ,174 ,76 ,49 ,84
128 ,גת רימון ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,269 ,26 ,50 ,77 ,43 ,16 ,57
130 ,משמר העמק ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1410 ,111 ,234 ,444 ,204 ,138 ,279
132 ,כפר ברוך ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,726 ,90 ,222 ,215 ,98 ,26 ,75
133 ,גבת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1052 ,101 ,238 ,281 ,156 ,59 ,217
134 ,יפעת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1260 ,82 ,299 ,363 ,205 ,81 ,230
135 ,רמת דוד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,677 ,58 ,180 ,209 ,97 ,32 ,101
139 ,עין שמר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,909 ,73 ,176 ,297 ,97 ,65 ,201
140 ,כפר יהושע ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1267 ,96 ,298 ,404 ,192 ,119 ,158
141 ,ברק ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,401 ,35 ,68 ,138 ,46 ,37 ,77
142 ,שדה יעקב ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1107 ,95 ,352 ,339 ,141 ,60 ,120
143 ,בית זרע ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,808 ,54 ,123 ,280 ,98 ,61 ,192
144 ,גן שלמה ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,630 ,56 ,154 ,191 ,81 ,41 ,107
145 ,גדיש ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,381 ,38 ,61 ,127 ,54 ,52 ,49
146 ,דבורה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,328 ,33 ,69 ,96 ,36 ,31 ,63
147 ,גבעת ברנר ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,2789 ,161 ,639 ,771 ,520 ,211 ,487
154 ,תל מונד ,41 ,השרון ,41 ,נתניה ,0 , ,15196 ,1110 ,3857 ,4961 ,2489 ,1310 ,1469
155 ,באר טוביה ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1295 ,100 ,361 ,389 ,190 ,103 ,152
156 ,עיינות ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,206 ,18 ,18 ,147 ,11 ,5 ,7
157 ,עין ורד ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1677 ,102 ,422 ,511 ,301 ,123 ,218
158 ,נען ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1984 ,173 ,430 ,660 ,265 ,108 ,348
159 ,בית חנן ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,683 ,57 ,117 ,213 ,100 ,64 ,132
160 ,חולדה ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1201 ,104 ,405 ,311 ,213 ,51 ,117
162 ,חירות ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1363 ,62 ,357 ,397 ,245 ,148 ,154
163 ,תימורים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,825 ,48 ,141 ,282 ,110 ,119 ,125
164 ,מלאה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,401 ,39 ,84 ,145 ,48 ,34 ,51
165 ,ניר יפה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,701 ,45 ,211 ,224 ,102 ,27 ,92
166 ,גן יבנה ,44 ,רחובות ,44 ,רחובות ,0 , ,24846 ,1637 ,6091 ,8689 ,3862 ,2305 ,2262
167 ,עין החורש ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,993 ,69 ,204 ,296 ,129 ,69 ,226
168 ,כפר יונה ,41 ,השרון ,41 ,נתניה ,0 , ,28544 ,2865 ,6650 ,10117 ,3702 ,2151 ,3059
170 ,כפר יעבץ ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,733 ,75 ,176 ,253 ,91 ,59 ,79
171 ,פרדסיה ,41 ,השרון ,41 ,נתניה ,0 , ,8184 ,763 ,1737 ,2891 ,911 ,791 ,1091
173 ,גבעת חיים )מאוחד( ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1242 ,80 ,245 ,371 ,190 ,86 ,270
174 ,נטעים ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,808 ,61 ,164 ,258 ,139 ,87 ,99
175 ,אביחיל ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1402 ,88 ,329 ,405 ,187 ,125 ,268
176 ,אפיקים ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1388 ,71 ,238 ,412 ,208 ,103 ,356
177 ,כפר ביל"ו ,44 ,רחובות ,44 ,רחובות ,30 ,גזר ,1182 ,84 ,241 ,375 ,155 ,134 ,193
178 ,רמת יוחנן ,31 ,חיפה ,27 ,קריות ,12 ,זבולון ,1227 ,124 ,215 ,450 ,136 ,103 ,199
182 ,אבן יהודה ,41 ,השרון ,41 ,נתניה ,0 , ,15234 ,1000 ,3839 ,4617 ,2369 ,1195 ,2214
183 ,ירקונה ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,380 ,15 ,59 ,127 ,69 ,49 ,61
184 ,רמת הכובש ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1088 ,82 ,265 ,293 ,156 ,54 ,238
186 ,נעורים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,220 ,17 ,28 ,97 ,20 ,26 ,32
187 ,כפר הס ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1495 ,93 ,342 ,471 ,252 ,168 ,169
188 ,אשדות יעקב )מאוחד( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,848 ,59 ,183 ,267 ,113 ,64 ,162
189 ,כפר פינס ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,694 ,93 ,211 ,213 ,52 ,35 ,90
190 ,כפר ויתקין ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1981 ,133 ,431 ,625 ,325 ,200 ,267
191 ,הדר עם ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,823 ,49 ,236 ,238 ,139 ,62 ,99
192 ,כפר החורש ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,745 ,74 ,183 ,241 ,72 ,55 ,120
193 ,כפר חיים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,608 ,38 ,140 ,162 ,104 ,49 ,115
194 ,משמר השרון ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,795 ,64 ,177 ,252 ,89 ,61 ,152
195 ,קדימה-צורן ,41 ,השרון ,41 ,נתניה ,0 , ,23312 ,1720 ,5658 ,7726 ,3534 ,2450 ,2224
196 ,גיבתון ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,404 ,31 ,93 ,109 ,54 ,27 ,90
197 ,מעברות ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1063 ,84 ,210 ,309 ,122 ,87 ,251
198 ,צופית ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1144 ,50 ,289 ,296 ,215 ,119 ,175
199 ,אשדות יעקב )איחוד( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1017 ,74 ,262 ,309 ,155 ,68 ,149
200 ,בית ינאי ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,421 ,23 ,87 ,106 ,71 ,45 ,89
202 ,בית עובד ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,334 ,18 ,64 ,98 ,50 ,28 ,76
204 ,אלישיב ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,702 ,47 ,171 ,226 ,100 ,46 ,112
205 ,חגלה ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,810 ,47 ,232 ,229 ,163 ,64 ,75
206 ,רמות השבים ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1631 ,112 ,339 ,503 ,229 ,166 ,282
207 ,גבעת ח"ן ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,425 ,33 ,98 ,116 ,47 ,42 ,89
208 ,מוצא עילית ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,1624 ,105 ,302 ,453 ,206 ,163 ,395
212 ,בית צבי ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,129 ,24 ,37 ,60 ,2 ,3 ,3
213 ,משמרות ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1295 ,99 ,467 ,373 ,218 ,45 ,93
217 ,כפר הרא"ה ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,1267 ,145 ,360 ,394 ,147 ,65 ,156
218 ,גני עם ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,256 ,11 ,34 ,65 ,37 ,39 ,70
219 ,חיבת ציון ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,828 ,88 ,219 ,269 ,97 ,53 ,102
220 ,כפר ביאליק ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,668 ,46 ,154 ,203 ,83 ,47 ,135
223 ,עין עירון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,594 ,61 ,113 ,212 ,75 ,63 ,70
224 ,שושנת העמקים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,591 ,48 ,94 ,208 ,76 ,57 ,108
225 ,גן השומרון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,893 ,70 ,185 ,280 ,118 ,92 ,148
229 ,גני תקווה ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,24418 ,2305 ,5566 ,7594 ,3154 ,1787 ,4012
230 ,מעש ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,948 ,75 ,214 ,262 ,132 ,70 ,195
232 ,שפיים ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1513 ,134 ,314 ,485 ,214 ,107 ,259
233 ,כפר ידידיה ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,741 ,43 ,195 ,197 ,142 ,42 ,122
234 ,ביצרון ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1224 ,87 ,291 ,383 ,179 ,96 ,188
235 ,חבצלת השרון ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,471 ,22 ,86 ,121 ,78 ,46 ,118
237 ,שער העמקים ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,796 ,68 ,158 ,222 ,106 ,58 ,184
239 ,גן חיים ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,729 ,46 ,145 ,237 ,102 ,79 ,120
240 ,יקנעם עילית ,23 ,עפולה ,23 ,עפולה ,0 , ,26232 ,1913 ,5406 ,9274 ,3896 ,2301 ,3442
241 ,יקנעם )מושבה( ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1442 ,117 ,312 ,446 ,184 ,94 ,289
242 ,בית השיטה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1541 ,91 ,358 ,433 ,228 ,117 ,314
246 ,נתיבות ,62 ,באר שבע ,62 ,באר שבע ,0 , ,46398 ,7089 ,12128 ,17679 ,3623 ,2637 ,3242
247 ,רשפון ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1367 ,115 ,322 ,419 ,210 ,115 ,186
248 ,בית שערים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,778 ,70 ,196 ,232 ,110 ,45 ,125
249 ,כפר סירקין ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,1477 ,97 ,399 ,416 ,247 ,121 ,197
250 ,הזורע ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1293 ,79 ,193 ,405 ,157 ,103 ,356
252 ,ביתן אהרן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,281 ,14 ,33 ,58 ,19 ,16 ,141
253 ,חולתה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,737 ,84 ,179 ,241 ,79 ,50 ,104
254 ,כפר המכבי ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,455 ,40 ,92 ,141 ,47 ,40 ,95
255 ,כפר חיטים ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,722 ,38 ,162 ,248 ,110 ,73 ,91
256 ,ניר דוד )תל עמל( ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,905 ,58 ,208 ,271 ,117 ,75 ,176
257 ,נופך ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,597 ,69 ,124 ,220 ,62 ,51 ,71
259 ,שדה נחום ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1069 ,101 ,283 ,352 ,182 ,65 ,86
262 ,גינוסר ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,754 ,35 ,141 ,225 ,93 ,59 ,201
263 ,מסדה ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,380 ,35 ,53 ,145 ,42 ,33 ,72
264 ,שער הגולן ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,611 ,27 ,93 ,180 ,81 ,52 ,178
265 ,בית יוסף ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,496 ,45 ,83 ,190 ,52 ,56 ,70
267 ,כפר שמריהו ,51 ,תל אביב ,57 ,הרצליה ,0 , ,2588 ,128 ,473 ,697 ,353 ,276 ,661
268 ,טירת צבי ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,986 ,111 ,320 ,316 ,82 ,35 ,122
269 ,מולדת ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1248 ,72 ,312 ,417 ,206 ,93 ,148
270 ,עין השופט ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1246 ,63 ,187 ,430 ,155 ,83 ,328
272 ,מעוז חיים ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,642 ,38 ,97 ,261 ,67 ,53 ,126
273 ,עין גב ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,656 ,59 ,99 ,236 ,59 ,67 ,136
274 ,כפר מנחם ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,1463 ,68 ,458 ,371 ,313 ,85 ,168
276 ,צור משה ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,2862 ,151 ,802 ,849 ,596 ,210 ,254
278 ,אושה ,31 ,חיפה ,27 ,קריות ,12 ,זבולון ,584 ,59 ,118 ,183 ,71 ,52 ,101
280 ,חניתה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,998 ,57 ,205 ,297 ,151 ,86 ,202
281 ,פקיעין חדשה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,537 ,67 ,118 ,193 ,68 ,52 ,39
282 ,שבי ציון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1425 ,108 ,363 ,430 ,236 ,85 ,203
284 ,שדה ורבורג ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1425 ,74 ,340 ,431 ,255 ,117 ,208
285 ,אלונים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,771 ,83 ,136 ,248 ,67 ,61 ,176
286 ,מעלה החמישה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,947 ,92 ,259 ,276 ,129 ,57 ,134
287 ,תל יצחק ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,857 ,53 ,108 ,130 ,79 ,39 ,448
288 ,בית יהושע ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1157 ,81 ,291 ,377 ,189 ,72 ,147
289 ,עין המפרץ ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,982 ,62 ,182 ,281 ,143 ,72 ,242
290 ,מעין צבי ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,973 ,69 ,169 ,266 ,130 ,91 ,248
