,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
0,קפה בכיכר,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,הא באייר 48 ,"בית אוכל להכנה והגשת סלטים, כריכים כולל חביתות הגשת אוכל מוכן, מיני מאפה ,עוגות מוכנות ממקור מאושר,לרבות הגשת משקאות משכרים לצריכה במקום לעסק מחסן חיצוני בתיק רישוי 64299 ברחוב ה""א באייר 38).,","(32.087411, 34.791158)"
2,ספיד- סייקל,מוסך לתיקון אופנועים וקטנועים.,רכב ותחבורה,שוקן זלמן 4 ,"מוסך לתיקון אופנועים וקטנועים.,תיקון תקרים.,מכירת חלקי חילוף לאופנועים וקטנועים.,מכירת אופנועים.,","(32.054273, 34.772018)"
3,רמי שירותי רכב,מוסך לתיקון כלי רכב (מכונאות רכב).,רכב ותחבורה,תושיה 4 ,"מוסך לתיקון כלי רכב (מכונאות רכב).,","(32.066639, 34.787936)"
11,מרכז קהילתי ערבי-יהודי,מכון כושר.,עינוג ציבורי כללי,קדם 109 ,"מכון כושר.,","(32.041128, 34.747845)"
12,סופק קליק,"סופרמרקט (מכלת + מכירת מצרכי מזון, גבינות, נקניק, סלטים ארוזים). דברי מאפה ארוזים ממקור מאושר בחוק , מכירת מוצרי חלב, דגים קפואים סלטים וירקות קפואים.",מזון,לילינבלום 22 ,"סופרמרקט (מכלת + מכירת מצרכי מזון, גבינות, נקניק, סלטים ארוזים). דברי מאפה ארוזים ממקור מאושר בחוק , מכירת מוצרי חלב, דגים קפואים סלטים וירקות קפואים.,מכירת פירות וירקות.,","(32.061989, 34.769617)"
13,סופר זול אקספרס,מכלת (מינימרקט),מזון,ארלוזורוב 147 ,"מכלת (מינימרקט),מעדניה,מכירת עופות בשר דגים וירקות (קפואים), בצקים.,מכירת פירות וירקות,","(32.083183, 34.792422)"
15,דפוס שמואלי,בית דפוס,"תעשיה, כימיה, מחצב",לילינבלום 14 ,"בית דפוס,","(32.3250343, 34.8589051)"
16,טבק עוז,"6.14 - מוצרי טבק לסוגיו - מקום למכירה קמעונאית שאינו טעון רישוי לפי פרט אחר בתוספת זו
",מסחר ושונות,המלך ג'ורג' 6 ,"מוצרי טבק לסוגיו - מקום למכירה קמעונאית שאינו טעון רישוי לפי פרט אחר בתוספת זו
,","(31.7828125, 35.2174836)"
17,איטיו ארי שופ,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

",מזון,הר ציון 17 ,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,","(32.057509, 34.777152)"
26,סלון סימה וחזי,מספרה .,"בריאות, רוקחות, קוסמטיקה",רזיאל דוד 8 ,"מספרה .,טיפול יופי קוסמטיקה- איפור קבוע, פדיקור מניקור.,","(31.7269654, 34.7444565)"
28,מפגש חיים,מקום אחר למכירת מזון באריזות סגורות מכירת משקאות שלא לצריכה במקום כריכים מוכנים ממקור מאושר בחוק.,מזון,הירקון 296 ,"מקום אחר למכירת מזון באריזות סגורות מכירת משקאות שלא לצריכה במקום כריכים מוכנים ממקור מאושר בחוק.,","(32.095986, 34.77463)"
29,באלינג'רה,אחסנת מזוןלמסעדה ( בתיק רשוי 6088 ).,מזון,"מל""ן 3 ","אחסנת מזוןלמסעדה ( בתיק רשוי 6088 ).,","(32.069875, 34.766784)"
30,"פישר תכשיטים בע""מ","חומר גלם, מוצר, מכשיר או חלקיו שאינם טעונים רישוי לפי פרט אחר בתוספת זו- ייצורו, עיבודו, צביעתו, הרכבתו, ציפויו, השחזתו, הדפסה עליו, תיקונו.","תעשיה, כימיה, מחצב",יונה הנביא 39 ,"עבוד תכשיטים,מכירת תכשיטים.,","(32.072155, 34.768606)"
32,אוקינאוה לבונטין,"מסעדה להכנת סושי, עוף, בשר, איטריות מרקים, סלטים , וירקות  לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,לבונטין 11 ,"מסעדה להכנת סושי, עוף, בשר, איטריות מרקים, סלטים , וירקות  לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.061837, 34.774949)"
34,אופיר,מספרה לגברות וגברים.,"בריאות, רוקחות, קוסמטיקה",האוזנר דב 3 ,"מספרה לגברות וגברים.,טיפול יופי קוסמטיקה, מניקור, והרחקת שיער.,","(32.1103013, 34.7900448)"
35,בלפוריה,קיוסק מכירת כריכים מוכנים ממקור מאושר כחוק משקאות קלים  מכירת תה  וקפה בכוסות חד פעמיים ממתקים סגריות,מזון,הרצל 131 ,"קיוסק מכירת כריכים מוכנים ממקור מאושר כחוק משקאות קלים  מכירת תה  וקפה בכוסות חד פעמיים ממתקים סגריות,","(32.05009, 34.769625)"
44,המקום הכי,מכירת משקאות קלים גלידה עוגות ממתקים וסיגריות.,מזון,נחלת בנימין 1 ,"מכירת משקאות קלים גלידה עוגות ממתקים וסיגריות.,הכנת מיצים טבעיים גזר ותפוזים בלבד ללא הגשה במקום.,","(32.069232, 34.770361)"
46,מוסך ליטל,מוסך לפחחות וצביעת רכב.,רכב ותחבורה,האחים מסלאויטה 6 ,"מוסך לפחחות וצביעת רכב.,","(None, None)"
49,בועז רווה,מספרה.,"בריאות, רוקחות, קוסמטיקה",בן יהודה 225 ,"מספרה.,פדיקור ומניקור.,מכון יופי.,","(32.095048, 34.7753418)"
52,ליידי ביוטי סלון,"טיפול יופי ,קוסמטיקה והרחקת שיער.","בריאות, רוקחות, קוסמטיקה",בן עמי 10 ,"טיפול יופי ,קוסמטיקה והרחקת שיער.,פדיקור ומניקור.,","(32.0784469, 34.7727435)"
53,מכלת עיני שלמה,מכלת,מזון,הקשת 3 ,"מכלת,","(32.04177, 34.774678)"
55,תותי פרוטי,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

",מזון,עיר שמש 35 ,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,4.7 ב - מרכול למכירת פירות וירקות.,","(32.124572, 34.825886)"
57,שווארמה יאשקה,"בית אוכל להכנת והגשת שווארמה, צ'יפס, סלטים מירקות טריים,הגשה בכלים חד פעמיים.",מזון,פרישמן 39 ,"בית אוכל להכנת והגשת שווארמה, צ'יפס, סלטים מירקות טריים,הגשה בכלים חד פעמיים.,","(32.079858, 34.773512)"
63,גמא ראשים,עיבוד מתכת,"תעשיה, כימיה, מחצב",בן אביגדור 18 ,"עיבוד מתכת,","(32.067048, 34.789567)"
64,מריו לוי,מספרה.,"בריאות, רוקחות, קוסמטיקה",בן יהודה 161 ,"מספרה.,פדיקור ומניקור.,","(32.088721, 34.773401)"
65,כלמוביל,מכירת כלי רכב (כולל תצוגה),רכב ותחבורה,אלון יגאל 92 ,"מכירת כלי רכב (כולל תצוגה),חנות ששטחה הכולל 500 מ""ר לפחות.,","(31.737317, 34.7493121)"
70,טוני וספה,"בית אוכל להכנה והגשת פיצה  [ללא משלוחים ע""י קטנועים].",מזון,רוטשילד 140 ,"בית אוכל להכנה והגשת פיצה  [ללא משלוחים ע""י קטנועים].,משקאות משכרים-הגשתם לצורך צריכה במקום ההגשה.,","(32.0716773, 34.7792171)"
72,אלמז מנדל,"4.2ב - מזנון, בית אוכל אחר, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,פרנקל ידידיה 4 ,"מזנון, בית אוכל אחר, לרבות הגשת משקאות משכרים לצריכה במקום
,","(32.057012, 34.76766)"
77,הארלי,"מכירת כלי רכב בחנות (אולם) ששטחה מעל 500 מ""ר",מסחר ושונות,המלאכה 1 ,"כלי רכב וציוד מכני הנדסי (צמ""ה )למעט חלקים משומשים-מכירתם, השכרתם, תווך בהם.למעט אולם תצוגה לכלי רכב חדשים.,כלי רכב וציוד מכני הנדסי (צמ""ה), למעט חלקים משומשים - התקנת אביזרים בהם, לרבות מערכות קול ואזעקה.,","(32.066704, 34.785082)"
81,אקספרסו,מסעדה  לבישול בלבד (ללא גריל).,מזון,שאול המלך 39 ,"מסעדה  לבישול בלבד (ללא גריל).,","(32.0778913, 34.790694)"
83,זהר בייקרי,"בית אוכל להכנה והגשת דברי מאפה ,פוקאצ'ות ,פיצות (הכנת בצק במקום מקמח באריזות 1 ק""ג )+הכנה והגשת סלטים מירקות טריים, כריכים וטוסטים לפי הזמנת לקוח+ הכנת חביתות(הגשה בכלים חד פעמיים), לרבות הגשת משקאות משכרים לצריכה במקום.",מזון,אלון יגאל 155 ,"בית אוכל להכנה והגשת דברי מאפה ,פוקאצ'ות ,פיצות (הכנת בצק במקום מקמח באריזות 1 ק""ג )+הכנה והגשת סלטים מירקות טריים, כריכים וטוסטים לפי הזמנת לקוח+ הכנת חביתות(הגשה בכלים חד פעמיים), לרבות הגשת משקאות משכרים לצריכה במקום.,","(31.737317, 34.7493121)"
85,ג'וז ולוז,"מסעדה (כולל דגים, ללא אפיה), לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,גבולות 5 ,"מסעדה (כולל דגים, ללא אפיה), לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.059148, 34.767734)"
87,טיפת מזל,"מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,אלון יגאל 1 ,"מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8,","(32.7775329, 35.0121112)"
91,"צוותא 1, 3",אולם תיאטרון וקונצרט,עינוג ציבורי כללי,אבן גבירול 30 ,"אולם תיאטרון וקונצרט,מקום לעריכת מופעים.,עסק המצוי בקניון ללא חברת ניהול,","(32.075175, 34.78205)"
94,"שופרסל בע""מ",מכלת- מכירת מצרכי מזון קפואים ומצוננים.,מזון,יהודה המכבי 81 ,"מכלת- מכירת מצרכי מזון קפואים ומצוננים.,מכירת עוף שאינו קפוא ארוז מראש ע""י ספק מורשה.,בשר, עופות, דגים וסנפרוסט קפוא, ארוז מראש,מכירת פירות וירקות.,אפיית דברי מאפה מבצק מוכן ומוקפא לצרכי מכירה במקום.,","(32.094199, 34.792768)"
95,יהודה הלוי גסטרו פאב,מסעדה.(ללא דגים)+אפיה מבצק מוכן וקפוא לרבות צריכת משקאות משכרים במקום,מזון,יהודה הלוי 58 ,"מסעדה.(ללא דגים)+אפיה מבצק מוכן וקפוא .,צריכת משקאות משכרים במקום.,","(32.065539, 34.778541)"
98,קוקליקו,בית דפוס,"תעשיה, כימיה, מחצב",הר ציון 108 ,"בית דפוס,","(32.050652, 34.7736)"
99,"אנ.ק.ס מעבדות בע""מ",מספרה.,"בריאות, רוקחות, קוסמטיקה",ארלוזורוב 53 ,"מספרה.,","(32.086149, 34.778728)"
100,קיוסק השופטים,"קיוסק, מכ' משקאות קלים,שלגונים,ממתקים ודברי מאפה באריזות סגורות.",מזון,אבן גבירול 38 ,"קיוסק, מכ' משקאות קלים,שלגונים,ממתקים ודברי מאפה באריזות סגורות.,","(32.0764931, 34.7816751)"
104,בית פרנקפורט,"7.7 ב - קולנוע, תיאטרון",עינוג ציבורי כללי,קיציס יוסף 23 ,"""אודיטריום""   אולם  לתיאטרון קונצרטים ומופעי בידור.,הצגות מופעים מחזות אסיפות והרצאות.,משחקי קלפים (ברידגי ושחמט).,","(32.10625, 34.818988)"
107,סביח פרישמן,"בית אוכל להכנת והגשת סביח (חצילים מטוגנים +ביצים), בפיתות מוכנות ובצלחות בתוספת ירקות וסלטים+ לרבות הגשת משקאות משכרים",מזון,הברזל 20 ,"4.2א - מסעדה - בית אוכל להכנת והגשת סביח (חצילים מטוגנים +ביצים), בפיתות מוכנות ובצלחות בתוספת ירקות וסלטים ללא משקאות משכרים,","(32.10809915, 34.8388992405101)"
108,סיטי 24/7,מקום אחר למכירת מזון.,מזון,אבן גבירול 22 ,"מכירת מצרכי מזון - משקאות שלא לצריכה במקום, עוגיות, ממתקים        ופיצוחים.,","(31.7748073, 35.2151509)"
109,מזרחי שמואל תכשיטים,עיבוד תכשיטים,"תעשיה, כימיה, מחצב",נחלת בנימין 38 ,"עיבוד תכשיטים,מכירת תכשיטים,","(32.064709, 34.770975)"
114,פלאפל 4 טעמים,בית אוכל להכנה והגשת פלאפל לצריכה במקום.,מזון,אבן גבירול 93 ,"בית אוכל להכנה והגשת פלאפל לצריכה במקום.,","(32.085107, 34.781533)"
116,"""כמונה""","4.7 ב - מעדניה (מרכול) - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון
",מזון,אבן גבירול 125 ,"4.7 ב - מעדניה (מרכול) - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון
,","(32.088333, 34.782188)"
119,ויטל קוזי,מספרה.,"בריאות, רוקחות, קוסמטיקה",ז'בוטינסקי 108 ,"מספרה.,פדיקור ומניקור.,","(32.087214, 34.78638)"
121,משה לוי,מספרה,"בריאות, רוקחות, קוסמטיקה",שטינשנידר 11 ,"מספרה,","(None, None)"
122,"חיש דף בע""מ",בית דפוס,"תעשיה, כימיה, מחצב",פרנקל ידידיה 82 ,"בית דפוס,כריכיה,","(32.056209, 34.774206)"
123,דודה,"4.2ב - מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,אלמגור 5 ,"4.2ב - מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8,","(32.119847, 34.843238)"
129,לה בושרי פראנסיז אצל קוקו,"אטליז-מכירת בשר, עופות, דגים שאינם קפואים - טרייים.",מזון,בוגרשוב 26 ,"אטליז-מכירת בשר, עופות, דגים שאינם קפואים - טרייים.,סופרמרקט (מכלת + מכירת מצריכ מזון ארוזים ממקור מאושר מכירת משקאות שלא לצריכה במקום(.,בית אוכל-מקום הכנה ומכירת עוף בגריל מחוץ לכותלי העסק.,","(32.076796, 34.769742)"
130,מכולת,4.7 ב - סופרמרקט (מכלת + מכירת מצרכי מזון קפואים).,מזון,צ'לנוב 46 ,"סופרמרקט , מכלת + מכירת מצרכי מזון קפואים (ירקות ,דגים, בשר, עופות ובצקים +מזון לבע""ח,","(32.055203, 34.773805)"
131,רולדין,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,האוזנר דב 3 ,"בית אוכל להגשת דברי מאפה מוכנים, לחם ממקור מאושר כחוק , הגשת סלטים וכריכים מוכנים ממקום מאושר בחוק, הכנת מיץ טבעי (תפוזים מגיעים שטופים),4.2ג - הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון ולמעט הסעדה כמשמעותה בסעיף 4.6 ה' - אפיית דברי מאפה מבצק מוכן ומוקפא

,","(32.1103013, 34.7900448)"
135,"ד""ר לאופנועים",תקון קטנוע ואופנוע,רכב ותחבורה,החלוצים 46 ,"תקון קטנוע ואופנוע,","(32.057132, 34.772501)"
136,קפה דקל,מכירת עוגות ממתקים  גלידה וסיגריות,מזון,הרצוג 24 ,"מכירת עוגות ממתקים  גלידה וסיגריות,הגשת תה וקפה הכנה   ומכירת כריכים,","(32.08791885, 34.82536725)"
137,בשר נטו,אטליז-מכירת עופות שחוטים טריים שאינם קפואים ומכירת בשר בקר טרי שאינו קפוא ובאריזות סגורות.,מזון,יהודה המכבי 1 ,"אטליז-מכירת עופות שחוטים טריים שאינם קפואים ומכירת בשר בקר טרי שאינו קפוא ובאריזות סגורות.,מכירת בשר קפוא עופות קפואים ודגים קפואים.,","(32.094003, 34.791076)"
143,בוזה,"בית אוכל להכנת והגשת גלידה מתערובת מוכנה ממקור מאושר כחוק בתוספת פירות קפואים. הכנה קרפ וופל בלגי מתערובת מוכנה ממקור מאור כחוק , שימוש בכלים חד פעמיים.",מזון,החשמונאים 91 ,"בית אוכל להכנת והגשת גלידה מתערובת מוכנה ממקור מאושר כחוק בתוספת פירות קפואים. הכנה קרפ וופל בלגי מתערובת מוכנה ממקור מאור כחוק , שימוש בכלים חד פעמיים.,","(32.069753, 34.7830543)"
145,ירקות ודבש,מכירת פירות וירקות.,מזון,עיר שמש 73 ,"מכירת פירות וירקות.,מכירת מצרכי מזון באריזות סגורות.,","(32.124567, 34.830568)"
146,קומת קרקע,"מכירה אחסנה ותיקון מכשירי חשמל,",מסחר ושונות,הנגב 5 ,"מכירה אחסנה ותיקון מכשירי חשמל,,","(32.061807, 34.778765)"
147,מוסך מיקא ושות',פחחות רכב וצבע,רכב ותחבורה,בן אביגדור 15 ,"פחחות רכב וצבע,מכירה והתקנת חלקי חילוף לרכב.,","(32.06718, 34.790352)"
153,מכירת ביצים,חנות למכירת ביצים טריות ממשווק מורשה,מזון,נוריאל 3 ,"חנות למכירת ביצים טריות ממשווק מורשה,","(32.052691, 34.79065)"
168,סופר אפטר,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

",מזון,אפטר יעקב 9 ,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,4.7 ב - מרכול למכירת פירות וירקות.,","(None, None)"
169,חבורה,מסעדה ללא אפיה ודגים-לרבות צריכת משקאות משכרים במקום,מזון,מטולה 2 ,"מסעדה ללא אפיה ודגים-לרבות צריכת משקאות משכרים במקום,","(32.063593, 34.765127)"
178,פרמיום פרינט,ייצור שלטים.,"תעשיה, כימיה, מחצב",ההגנה 55 ,"ייצור שלטים.,","(32.054277, 34.789132)"
180,מולי בלום הירקון,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,הירקון 100 ,"מסעדה-ללא גריל,משקאות משכרים - הגשתם לצריכה במקום הגשתם.,","(32.079082, 34.768044)"
181,שרות לצמיגים,תקון תקרים,רכב ותחבורה,הרצל 101 ,"תקון תקרים,מכירה והתקנת צמיגים,","(32.05392, 34.770991)"
182,מכבסת אקספרס,6.4 - מכבסה וייבוש בשירות עצמי.,מסחר ושונות,הרצל 92 ,"6.4 - מכבסה וייבוש בשירות עצמי.,","(32.056607, 34.77071)"
185,דפוס מוריס,בית דפוס,"תעשיה, כימיה, מחצב",לוינסקי 37 ,"בית דפוס,","(32.059843, 34.771399)"
188,מלון מקסים תל אביב,7.1 א - בית מלון שמספר החדרים קטן מ- 100 .,עינוג ציבורי כללי,הירקון 86 ,"בית מלון(71 חדרים ),מזנון - לרבות צריכת משקאות משכרים במקום,","(32.0775593, 34.7675004)"
193,אולם ספורט סמטת כביר 21,אולם ספורט -  אולם לעריכת מופעי-  ספורט (בנוכחות קהל),עינוג ציבורי כללי,כביר 21 ,"אולם ספורט -  אולם לעריכת מופעי-  ספורט (בנוכחות קהל),השמעת מוסיקה ריקודים והופעת אומנים,","(32.050438, 34.787841)"
194,מרכולית פילי,מכלת,מזון,"מח""ל 79 ","מכלת,מכירת ירקות ומוצרי  מזון קפואים,","(32.049602, 34.812073)"
198,מאירהוף,אולם מאירהוף למופעי תיאטרון קונצרטים ומופעי בידור,עינוג ציבורי כללי,פריש דניאל 1 ,"אולם מאירהוף למופעי תיאטרון קונצרטים ומופעי בידור,","(32.074489, 34.782439)"
206,מלון הרודס,"בית מלון (22 קומות, 355 חדרים).",עינוג ציבורי כללי,הירקון 155 ,"בית מלון (22 קומות, 355 חדרים).,","(32.08455795, 34.76918269825558)"
207,הדרים- טרקלין R,"מסעדת הדרים "" טרקלין""  לרבות צריכת משקאות משכרים במקום
.",מזון,הירקון 155 ,"מסעדת הדרים "" טרקלין""  לרבות צריכת משקאות משכרים במקום
.,","(32.08455795, 34.76918269825558)"
208,בית קפה - לובי,בית קפה לרבות צריכת משקאות משכרים במקום,מזון,הירקון 155 ,"בית קפה לרבות צריכת משקאות משכרים במקום,","(32.08455795, 34.76918269825558)"
210,פיצה דומינו,ייצור בצק ומכירת בצק קפוא,מזון,רבניצקי 5 ,"ייצור בצק ומכירת בצק קפוא,","(32.066009, 34.789627)"
212,מוסך מיכה,מוסך- פחחות וצביעת רכב.,רכב ותחבורה,גולומב 24 ,"מוסך- פחחות וצביעת רכב.,","(32.050641, 34.783293)"
213,מלון גרנד ביץ-מסעדה,מסעדה לרבות צריכת משקאות משכרים במקום,מזון,נורדאו 8 ,"מסעדה לרבות צריכת משקאות משכרים במקום,","(31.8929166, 34.8157974)"
214,מלון גרנד ביץ-בריכה,בריכת שחיה,עינוג ציבורי כללי,נורדאו 8 ,"בריכת שחיה,","(31.8929166, 34.8157974)"
216,מספרת קו,מספרה .,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 151 ,"מספרה .,","(32.090748, 34.7826324)"
226,בני יהודה,מקום לעריכת תחרויות ומופעי ספורט(תפוסת קהל עד 2086 איש),עינוג ציבורי כללי,כביר 8 ,"מקום לעריכת תחרויות ומופעי ספורט(תפוסת קהל עד 2086 איש),","(36.552075, 52.6873776)"
230,הנביא,"קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות.
",מזון,ירמיהו 39 ,"קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות.
,","(31.7906305, 35.2015609)"
235,דפוס עמנואל,בית דפוס.,"תעשיה, כימיה, מחצב",מזרחי 28 ,"בית דפוס.,","(32.058279, 34.769432)"
236,בית מרקחת שפע,"1.1 - בית מרקחת  (למעט בקופת חולים ולמעט בבית חולים) 1.1
","בריאות, רוקחות, קוסמטיקה",בן יהודה 180 ,"1.1 - בית מרקחת  (למעט בקופת חולים ולמעט בבית חולים) 1.1
,","(32.087947, 34.773559)"
239,לה -פארק,"בית אוכל להגשת שתיה קלה וחמה, ממתקים, נקניקיה בלחמניה, מיצים טבעיים, עוגות ממקור מאושר, טוסטים, פיצות מוכנות ממקור מאושר, גלידה מוכנה ממקור מאושר כחוק, הגשה בכלים חד פעמי.",מזון,רוקח ישראל 98ד,"בית אוכל להגשת שתיה קלה וחמה, ממתקים, נקניקיה בלחמניה, מיצים טבעיים, עוגות ממקור מאושר, טוסטים, פיצות מוכנות ממקור מאושר, גלידה מוכנה ממקור מאושר כחוק, הגשה בכלים חד פעמי.,","(31.9595402, 34.8081028)"
240,מעדנית אמיגה,מעדניה - מכירת מצרכי מזון,מזון,נוריאל 8 ,"מעדניה - מכירת מצרכי מזון,","(32.0526118, 34.7908276)"
241,גוניור,ייצור מוצרי פלסטיק,"תעשיה, כימיה, מחצב",דיזנגוף 66 ,"ייצור מוצרי פלסטיק,","(32.076189, 34.774914)"
243,אטליז  דעבול יוסף,איטליז (מכירת בשר בקר ועוף טרי),מזון,נוריאל 9 ,"איטליז (מכירת בשר בקר ועוף טרי),מכירת בשר קפוא,","(32.052574, 34.791131)"
246,הפיצוציה,מכולת.,מזון,יהודה הלוי 95 ,"מכולת.,","(32.065454, 34.778015)"
247, טוליפ,מסעדה  (ללא הכנת דגים + הכנת בלינצס מבלילה מוכנה של יצרן  מאושר)לרבות צריכת משקאות משכרים במקום,מזון,נחמני 38 ,"מסעדה  (ללא הכנת דגים + הכנת בלינצס מבלילה מוכנה של יצרן  מאושר)לרבות צריכת משקאות משכרים במקום,","(32.064999, 34.777947)"
248,המעדן,מכירת שימורים ופירות יבשים {באריזות סגורות},מזון,דה פיג'וטו 2 ,"מכירת שימורים ופירות יבשים {באריזות סגורות},","(None, None)"
249,מחסן לחנות פרחים לה רוז,אחסנת פרחים לתיק רישוי 20259 ברחוב הא באייר 42,מסחר ושונות,הא באייר 42 ,"אחסנת פרחים לתיק רישוי 20259 ברחוב הא באייר 42,","(32.086971, 34.791356)"
251,דה פפרס,"בית אוכל להכנה והגשת כריכים, סלטים בהרכבה בכלים חד פעמיים+משלוחים עד 50 מנות (2 קטנועים).",מזון,יהודית 7 ,"בית אוכל להכנה והגשת כריכים, סלטים בהרכבה בכלים חד פעמיים+משלוחים עד 50 מנות (2 קטנועים).,","(32.08991455, 34.80470344609181)"
252,ג'וניס משקאות,מכירת משקאות שלא לצריכה במקום(ללא מקומות ישיבה).,מזון,העליה 46 ,"מכירת משקאות שלא לצריכה במקום(ללא מקומות ישיבה).,","(49.188643, -2.0985004)"
253,שרה טקס,"מתפרה, גזירת דברי הלבשה","תעשיה, כימיה, מחצב",קישון אפרים 24 ,"מתפרה, גזירת דברי הלבשה,","(31.9473265, 34.8263755)"
254,מספרת יניב מזרחי,מספרה.,"בריאות, רוקחות, קוסמטיקה","הפלמ""ח 34 ","מספרה.,","(31.7670796, 35.2099004)"
256,אטליז מאיר,אטליז - מכירת בשר בקר טרי + מכירת עופות טריים.,מזון,נוריאל 7 ,"אטליז - מכירת בשר בקר טרי + מכירת עופות טריים.,מכירת בשר קפוא.,","(32.052596, 34.791039)"
257,SEA.NET,בית מלון (70 חדרים ),עינוג ציבורי כללי,נס ציונה 6 ,"בית מלון (70 חדרים ),מזנון בקומת מרתף ומזנון בקומת כניסה לרבות משקאות משכרים לצריכה במקום,","(32.074558, 34.767076)"
259, דומינוס פיצה,"בית אוכל - להכנה ומכירת פיצה (""TAKE AWAY""-).משלוחי פיצה עי קטנועים",מזון,אבן גבירול 143 ,"בית אוכל - להכנה ומכירת פיצה (""TAKE AWAY""-).משלוחי פיצה עי קטנועים,בית אוכל אחר להכנה והגשת פיצה מבצק מוכן ומוקפא.וכנפי עוף מוכנים ממקור מאושר כחוק - חימום בלבד,","(32.089877, 34.7825)"
268,אות סייג,ייצור תכשיטים,"תעשיה, כימיה, מחצב",אלנבי 81 ,"ייצור תכשיטים,","(32.066457, 34.77188)"
275,דה דה,"בית אוכל אחר- להכנה והגשת חביתות בתוספת גבינות, נקניקים סלטים ומיצים -לרבות הגשת משקאות משכירם לצורך צריכה במקום.",מזון,אוריאל אקוסטה 16 ,"בית אוכל אחר- להכנה והגשת חביתות בתוספת גבינות, נקניקים סלטים ומיצים -לרבות הגשת משקאות משכירם לצורך צריכה במקום.,","(32.057515, 34.769568)"
277,א.א.ירקות,מכירת פירות וירקות.,מזון,"מח""ל 79 ","מכירת פירות וירקות.,מכירת פירות יבשים ,תבלינים ופיצוחים.,","(32.049602, 34.812073)"
279,בית גיל הזהב,מסעדה  פנימית (ללא דגים)  בית גיל הזהב,מזון,לה גוארדיה 76 ,"מסעדה  פנימית (ללא דגים)  בית גיל הזהב,","(None, None)"
284,דפוס קשת,בית דפוס,"תעשיה, כימיה, מחצב",הברזל 31 ,"בית דפוס,","(32.110287, 34.841116)"
285,פירות וירקות מהדרון,4.7 ב - מרכול למכירת פירות וירקות.,מזון,מרמורק 28 ,"מרכול למכירת פירות וירקות.,","(32.071078, 34.781481)"
287,קיוסק בוריס,"מקום אחר למכירת מצרכי מזון באריזות סגורות, משקאות קלים ומשכרים לא לצריכה במקום,",מזון,מסילת ישרים 19 ,"מקום אחר למכירת מצרכי מזון באריזות סגורות, משקאות קלים ומשכרים לא לצריכה במקום,,","(31.7818852, 35.2148593)"
